Date,Time,Easting,Northing,Datetime
2024-09-19,21:09:26.013,462706.991800,6431206.557200,2024-09-19 21:09:26.013
2024-09-19,21:09:27.866,462711.186200,6431207.618600,2024-09-19 21:09:27.866
2024-09-19,21:09:29.706,462715.446600,6431206.688100,2024-09-19 21:09:29.706
2024-09-19,21:09:31.534,462719.510300,6431206.160800,2024-09-19 21:09:31.534
2024-09-19,21:09:33.375,462723.758100,6431206.014200,2024-09-19 21:09:33.375
2024-09-19,21:09:35.210,462727.811200,6431205.952600,2024-09-19 21:09:35.210
2024-09-19,21:09:37.057,462731.968100,6431205.964200,2024-09-19 21:09:37.057
2024-09-19,21:09:38.895,462736.111800,6431205.699500,2024-09-19 21:09:38.895
2024-09-19,21:09:40.721,462740.221500,6431206.080300,2024-09-19 21:09:40.721
2024-09-19,21:09:42.574,462744.388900,6431205.083900,2024-09-19 21:09:42.574
2024-09-19,21:09:44.408,462748.502600,6431205.393200,2024-09-19 21:09:44.408
2024-09-19,21:09:46.243,462752.648500,6431205.446400,2024-09-19 21:09:46.243
2024-09-19,21:09:48.094,462756.842200,6431205.263000,2024-09-19 21:09:48.094
2024-09-19,21:09:49.938,462760.992300,6431204.969800,2024-09-19 21:09:49.938
2024-09-19,21:09:51.767,462765.098600,6431204.679100,2024-09-19 21:09:51.767
2024-09-19,21:09:53.616,462769.309700,6431204.637100,2024-09-19 21:09:53.616
2024-09-19,21:09:58.462,462780.344200,6431203.821500,2024-09-19 21:09:58.462
2024-09-19,21:10:00.307,462784.508300,6431203.809800,2024-09-19 21:10:00.307
2024-09-19,21:10:02.142,462788.662900,6431203.929400,2024-09-19 21:10:02.142
2024-09-19,21:10:03.986,462792.808200,6431203.698300,2024-09-19 21:10:03.986
2024-09-19,21:10:07.681,462801.137700,6431203.352600,2024-09-19 21:10:07.681
2024-09-19,21:10:09.523,462805.189600,6431203.100100,2024-09-19 21:10:09.523
2024-09-19,21:10:11.370,462809.374900,6431203.373100,2024-09-19 21:10:11.370
2024-09-19,21:10:18.192,462824.850700,6431203.035100,2024-09-19 21:10:18.192
2024-09-19,21:10:19.009,462826.547300,6431202.345000,2024-09-19 21:10:19.009
2024-09-19,21:10:20.861,462830.853400,6431202.308000,2024-09-19 21:10:20.861
2024-09-19,21:10:22.706,462834.899700,6431202.252700,2024-09-19 21:10:22.706
2024-09-19,21:10:24.547,462839.039200,6431201.696300,2024-09-19 21:10:24.547
2024-09-19,21:10:31.381,462854.519500,6431201.440500,2024-09-19 21:10:31.381
2024-09-19,21:10:32.207,462856.369100,6431201.516000,2024-09-19 21:10:32.207
2024-09-19,21:10:34.041,462860.544200,6431201.076900,2024-09-19 21:10:34.041
2024-09-19,21:10:35.879,462864.813300,6431201.256400,2024-09-19 21:10:35.879
2024-09-19,21:10:37.724,462868.980000,6431201.133500,2024-09-19 21:10:37.724
2024-09-19,21:10:39.565,462873.160500,6431201.901800,2024-09-19 21:10:39.565
2024-09-19,21:10:41.398,462877.309200,6431200.574700,2024-09-19 21:10:41.398
2024-09-19,21:10:43.240,462881.461800,6431200.979000,2024-09-19 21:10:43.240
2024-09-19,21:10:45.090,462885.656500,6431200.431400,2024-09-19 21:10:45.090
2024-09-19,21:10:46.928,462889.778200,6431200.455300,2024-09-19 21:10:46.928
2024-09-19,21:10:48.771,462894.084600,6431199.716400,2024-09-19 21:10:48.771
2024-09-19,21:10:50.618,462898.134400,6431199.938900,2024-09-19 21:10:50.618
2024-09-19,21:10:52.453,462902.298100,6431199.913900,2024-09-19 21:10:52.453
2024-09-19,21:10:54.305,462906.451300,6431199.634900,2024-09-19 21:10:54.305
2024-09-19,21:10:56.127,462910.655400,6431198.059100,2024-09-19 21:10:56.127
2024-09-19,21:10:57.968,462980.126400,6431201.536400,2024-09-19 21:10:57.968
2024-09-19,21:10:59.829,462918.921700,6431198.931000,2024-09-19 21:10:59.829
2024-09-19,21:11:01.645,462923.063000,6431199.834700,2024-09-19 21:11:01.645
2024-09-19,21:11:03.491,462927.248800,6431198.969000,2024-09-19 21:11:03.491
2024-09-19,21:11:05.338,462931.408700,6431198.879100,2024-09-19 21:11:05.338
2024-09-19,21:11:07.172,462935.561100,6431198.515200,2024-09-19 21:11:07.172
2024-09-19,21:11:09.022,462939.710500,6431198.449900,2024-09-19 21:11:09.022
2024-09-19,21:11:13.080,462932.220900,6431198.953800,2024-09-19 21:11:13.080
2024-09-19,21:11:16.785,462926.981500,6431197.740700,2024-09-19 21:11:16.785
2024-09-19,21:11:18.638,462941.196900,6431197.596100,2024-09-19 21:11:18.638
2024-09-19,21:11:20.455,462965.606000,6431197.420000,2024-09-19 21:11:20.455
2024-09-19,21:11:22.294,462969.787100,6431196.912500,2024-09-19 21:11:22.294
2024-09-19,21:11:24.128,462973.812400,6431197.424400,2024-09-19 21:11:24.128
2024-09-19,21:11:25.973,462978.113000,6431197.095200,2024-09-19 21:11:25.973
2024-09-19,21:11:27.812,462982.291600,6431197.348100,2024-09-19 21:11:27.812
2024-09-19,21:11:31.463,462990.528100,6431196.781000,2024-09-19 21:11:31.463
2024-09-19,21:11:33.315,462994.720700,6431196.674600,2024-09-19 21:11:33.315
2024-09-19,21:11:35.159,462998.861300,6431196.534700,2024-09-19 21:11:35.159
2024-09-19,21:11:37.004,463003.012600,6431196.588500,2024-09-19 21:11:37.004
2024-09-19,21:11:38.833,463007.049700,6431196.193200,2024-09-19 21:11:38.833
2024-09-19,21:11:40.676,463011.292500,6431195.011000,2024-09-19 21:11:40.676
2024-09-19,21:11:42.508,463015.297400,6431195.978900,2024-09-19 21:11:42.508
2024-09-19,21:11:47.338,463026.201400,6431195.663300,2024-09-19 21:11:47.338
2024-09-19,21:11:49.186,463030.350800,6431195.622700,2024-09-19 21:11:49.186
2024-09-19,21:11:51.017,463034.516000,6431195.626400,2024-09-19 21:11:51.017
2024-09-19,21:11:52.859,463038.663600,6431195.407300,2024-09-19 21:11:52.859
2024-09-19,21:11:54.685,463042.865100,6431194.856900,2024-09-19 21:11:54.685
2024-09-19,21:11:56.516,463047.008300,6431194.653800,2024-09-19 21:11:56.516
2024-09-19,21:11:58.356,463051.181000,6431194.588200,2024-09-19 21:11:58.356
2024-09-19,21:12:00.188,463055.331100,6431197.780900,2024-09-19 21:12:00.188
2024-09-19,21:12:02.020,463059.446800,6431194.527500,2024-09-19 21:12:02.020
2024-09-19,21:12:03.871,463063.598900,6431193.863100,2024-09-19 21:12:03.871
2024-09-19,21:12:05.709,463067.750000,6431193.720400,2024-09-19 21:12:05.709
2024-09-19,21:12:07.552,463071.939600,6431193.873200,2024-09-19 21:12:07.552
2024-09-19,21:12:09.378,463075.998800,6431193.606300,2024-09-19 21:12:09.378
2024-09-19,21:12:11.214,463080.155600,6431193.746700,2024-09-19 21:12:11.214
2024-09-19,21:12:13.064,463084.274500,6431193.568100,2024-09-19 21:12:13.064
2024-09-19,21:12:14.894,463088.416600,6431193.589300,2024-09-19 21:12:14.894
2024-09-19,21:12:16.745,463092.554700,6431192.915500,2024-09-19 21:12:16.745
2024-09-19,21:12:18.582,463096.682500,6431192.873800,2024-09-19 21:12:18.582
2024-09-19,21:12:20.419,463100.741000,6431192.780000,2024-09-19 21:12:20.419
2024-09-19,21:12:22.262,463104.966000,6431192.453200,2024-09-19 21:12:22.262
2024-09-19,21:12:24.095,463109.015200,6431194.583100,2024-09-19 21:12:24.095
2024-09-19,21:12:25.945,463113.228400,6431192.704600,2024-09-19 21:12:25.945
2024-09-19,21:12:27.769,463117.327000,6431192.160100,2024-09-19 21:12:27.769
2024-09-19,21:12:29.610,463121.445000,6431191.548300,2024-09-19 21:12:29.610
2024-09-19,21:12:31.475,463125.669800,6431192.007500,2024-09-19 21:12:31.475
2024-09-19,21:12:33.314,463129.779900,6431191.560100,2024-09-19 21:12:33.314
2024-09-19,21:12:35.163,463133.899800,6431191.433800,2024-09-19 21:12:35.163
2024-09-19,21:12:37.012,463138.083100,6431191.244900,2024-09-19 21:12:37.012
2024-09-19,21:12:38.846,463142.193800,6431191.103000,2024-09-19 21:12:38.846
2024-09-19,21:12:40.688,463146.316300,6431191.088000,2024-09-19 21:12:40.688
2024-09-19,21:12:42.531,463150.440000,6431190.740300,2024-09-19 21:12:42.531
2024-09-19,21:12:49.379,463165.902500,6431190.507200,2024-09-19 21:12:49.379
2024-09-19,21:12:50.195,463167.739800,6431190.505500,2024-09-19 21:12:50.195
2024-09-19,21:12:52.028,463171.834300,6431190.353200,2024-09-19 21:12:52.028
2024-09-19,21:12:53.863,463175.980700,6431190.136700,2024-09-19 21:12:53.863
2024-09-19,21:12:55.721,463180.149800,6431190.083500,2024-09-19 21:12:55.721
2024-09-19,21:12:57.573,463184.348700,6431190.007400,2024-09-19 21:12:57.573
2024-09-19,21:12:59.407,463188.431900,6431189.484700,2024-09-19 21:12:59.407
2024-09-19,21:13:01.247,463192.571200,6431189.736300,2024-09-19 21:13:01.247
2024-09-19,21:13:03.081,463196.702500,6431189.428100,2024-09-19 21:13:03.081
2024-09-19,21:13:04.913,463200.836100,6431189.904100,2024-09-19 21:13:04.913
2024-09-19,21:13:06.754,463204.953600,6431188.995200,2024-09-19 21:13:06.754
2024-09-19,21:13:08.601,463209.072600,6431189.103400,2024-09-19 21:13:08.601
2024-09-19,21:13:10.432,463213.141000,6431188.827800,2024-09-19 21:13:10.432
2024-09-19,21:13:12.270,463217.262100,6431188.978200,2024-09-19 21:13:12.270
2024-09-19,21:13:14.112,463221.505800,6431188.642200,2024-09-19 21:13:14.112
2024-09-19,21:13:15.946,463225.868000,6431188.470800,2024-09-19 21:13:15.946
2024-09-19,21:13:17.781,463230.181700,6431188.339600,2024-09-19 21:13:17.781
2024-09-19,21:13:19.616,463234.317700,6431188.364400,2024-09-19 21:13:19.616
2024-09-19,21:13:21.462,463238.476800,6431189.907000,2024-09-19 21:13:21.462
2024-09-19,21:13:23.311,463242.578100,6431188.023500,2024-09-19 21:13:23.311
2024-09-19,21:13:25.155,463246.870500,6431187.922500,2024-09-19 21:13:25.155
2024-09-19,21:13:26.999,463251.015600,6431187.254800,2024-09-19 21:13:26.999
2024-09-19,21:13:28.834,463255.219100,6431185.326500,2024-09-19 21:13:28.834
2024-09-19,21:13:30.685,463259.273800,6431187.750000,2024-09-19 21:13:30.685
2024-09-19,21:13:32.523,463263.409600,6431187.081300,2024-09-19 21:13:32.523
2024-09-19,21:13:34.351,463267.480200,6431186.944500,2024-09-19 21:13:34.351
2024-09-19,21:13:36.189,463271.610400,6431186.956000,2024-09-19 21:13:36.189
2024-09-19,21:13:38.029,463275.726400,6431188.069100,2024-09-19 21:13:38.029
2024-09-19,21:13:39.866,463279.832200,6431186.151400,2024-09-19 21:13:39.866
2024-09-19,21:13:41.715,463283.985800,6431186.518000,2024-09-19 21:13:41.715
2024-09-19,21:13:43.547,463288.064200,6431186.446400,2024-09-19 21:13:43.547
2024-09-19,21:13:45.393,463292.232100,6431186.474400,2024-09-19 21:13:45.393
2024-09-19,21:13:47.232,463296.286300,6431186.007700,2024-09-19 21:13:47.232
2024-09-19,21:13:49.084,463300.471200,6431186.259600,2024-09-19 21:13:49.084
2024-09-19,21:13:50.923,463304.587300,6431186.042700,2024-09-19 21:13:50.923
2024-09-19,21:13:52.763,463308.746200,6431186.031200,2024-09-19 21:13:52.763
2024-09-19,21:13:54.595,463312.857200,6431185.366200,2024-09-19 21:13:54.595
2024-09-19,21:13:56.442,463317.028400,6431185.866900,2024-09-19 21:13:56.442
2024-09-19,21:13:58.281,463321.167700,6431185.539600,2024-09-19 21:13:58.281
2024-09-19,21:14:00.131,463325.215600,6431185.138700,2024-09-19 21:14:00.131
2024-09-19,21:14:01.979,463329.397300,6431185.133600,2024-09-19 21:14:01.979
2024-09-19,21:14:03.813,463333.606700,6431185.239200,2024-09-19 21:14:03.813
2024-09-19,21:14:05.658,463337.800600,6431185.094900,2024-09-19 21:14:05.658
2024-09-19,21:14:07.500,463341.834700,6431184.938600,2024-09-19 21:14:07.500
2024-09-19,21:14:11.156,463350.159300,6431184.388800,2024-09-19 21:14:11.156
