Date,Time,Easting,Northing
2024-09-19,22:12:39.302,471218.6708,6430905.3564
2024-09-19,22:12:41.145,471222.7492,6430904.8972
2024-09-19,22:12:42.981,471226.8442,6430904.8483
2024-09-19,22:12:44.821,471230.9471,6430904.6802
2024-09-19,22:12:46.656,471235.1568,6430904.6836
2024-09-19,22:12:48.500,471239.2482,6430904.3606
2024-09-19,22:12:52.180,471247.3053,6430904.3309
2024-09-19,22:12:54.025,471251.3910,6430906.0283
2024-09-19,22:12:55.853,471255.5587,6430903.7054
2024-09-19,22:12:57.709,471259.6491,6430903.6998
2024-09-19,22:12:59.567,471263.7776,6430903.5478
2024-09-19,22:13:01.383,471267.8400,6430903.5257
2024-09-19,22:13:03.234,471271.8826,6430903.5285
2024-09-19,22:13:05.066,471276.0518,6430903.0723
2024-09-19,22:13:06.898,471280.1389,6430903.1676
2024-09-19,22:13:08.752,471284.2732,6430902.7153
2024-09-19,22:13:10.600,471288.3496,6430902.5931
2024-09-19,22:13:12.431,471292.2925,6430902.7897
2024-09-19,22:13:14.274,471296.5227,6430902.4364
2024-09-19,22:13:16.110,471300.5839,6430902.0121
2024-09-19,22:13:17.958,471304.7191,6430901.8349
2024-09-19,22:13:19.793,471308.8122,6430901.8602
2024-09-19,22:13:21.650,471312.8869,6430901.5771
2024-09-19,22:13:23.484,471316.8663,6430901.4590
2024-09-19,22:13:25.318,471320.9343,6430901.6707
2024-09-19,22:13:27.163,471325.0144,6430901.2405
2024-09-19,22:13:29.004,471329.0879,6430901.7930
2024-09-19,22:13:30.844,471333.1789,6430901.2393
2024-09-19,22:13:32.676,471337.2808,6430901.0000
2024-09-19,22:13:34.524,471341.3782,6430900.6540
2024-09-19,22:13:36.360,471345.4790,6430900.7793
2024-09-19,22:13:38.194,471349.5796,6430900.5315
2024-09-19,22:13:40.038,471353.6727,6430900.4377
2024-09-19,22:13:41.875,471357.7655,6430899.8506
2024-09-19,22:13:43.724,471361.9527,6430899.9306
2024-09-19,22:13:45.554,471366.1340,6430898.8696
2024-09-19,22:13:47.386,471369.9724,6430899.7403
2024-09-19,22:13:49.221,471374.1613,6430899.5145
2024-09-19,22:13:51.059,471378.1627,6430899.3350
2024-09-19,22:13:52.899,471382.2677,6430899.1553
2024-09-19,22:13:54.742,471386.3740,6430899.1078
2024-09-19,22:13:56.579,471390.5633,6430899.1209
2024-09-19,22:13:58.434,471394.6041,6430899.0276
2024-09-19,22:14:02.100,471402.7183,6430898.6639
2024-09-19,22:14:03.944,471406.7977,6430899.0160
2024-09-19,22:14:05.792,471410.9167,6430898.4126
2024-09-19,22:14:07.630,471414.9569,6430898.3347
2024-09-19,22:14:09.474,471419.1099,6430898.2568
2024-09-19,22:14:11.303,471423.1696,6430898.1576
2024-09-19,22:14:13.150,471427.2712,6430897.6669
2024-09-19,22:14:15.007,471431.4206,6430897.7177
2024-09-19,22:14:16.840,471435.5198,6430897.7500
2024-09-19,22:14:18.676,471439.7103,6430897.4490
2024-09-19,22:14:20.515,471443.6846,6430897.4046
2024-09-19,22:14:24.177,471451.8172,6430896.8171
2024-09-19,22:14:26.039,471455.9571,6430896.6917
2024-09-19,22:14:27.885,471460.0616,6430896.6511
2024-09-19,22:14:29.734,471464.2067,6430896.4865
2024-09-19,22:14:31.568,471468.2516,6430896.3062
2024-09-19,22:14:33.406,471472.3250,6430896.0517
2024-09-19,22:14:35.258,471476.4517,6430896.1623
2024-09-19,22:14:37.082,471480.4891,6430895.9070
2024-09-19,22:14:38.940,471484.6232,6430896.3372
2024-09-19,22:14:40.765,471488.6664,6430895.6630
2024-09-19,22:14:42.615,471492.8207,6430895.5420
2024-09-19,22:14:44.457,471496.9205,6430895.3065
2024-09-19,22:14:46.287,471500.9826,6430895.3440
2024-09-19,22:14:48.139,471505.1084,6430895.0810
2024-09-19,22:14:49.986,471509.1928,6430895.1088
2024-09-19,22:14:51.819,471513.2819,6430895.0135
2024-09-19,22:14:53.665,471517.3730,6430894.7706
2024-09-19,22:14:55.496,471521.4498,6430895.0947
2024-09-19,22:14:57.337,471525.5299,6430894.3017
2024-09-19,22:14:59.175,471529.6206,6430894.4373
2024-09-19,22:15:01.005,471533.6799,6430894.1189
2024-09-19,22:15:02.853,471537.7763,6430893.9162
2024-09-19,22:15:04.692,471541.8859,6430893.5986
2024-09-19,22:15:06.535,471546.0167,6430893.4911
2024-09-19,22:15:08.379,471550.0878,6430893.4560
2024-09-19,22:15:10.215,471554.1575,6430893.0471
2024-09-19,22:15:12.051,471558.1803,6430892.7812
2024-09-19,22:15:13.892,471562.2652,6430892.9191
2024-09-19,22:15:15.736,471566.3864,6430892.4649
2024-09-19,22:15:17.567,471570.4403,6430892.5652
2024-09-19,22:15:19.406,471574.5242,6430892.6539
2024-09-19,22:15:21.236,471578.5999,6430892.3234
2024-09-19,22:15:23.083,471582.7668,6430891.8623
2024-09-19,22:15:24.928,471650.8822,6430895.0887
2024-09-19,22:15:26.783,471590.8570,6430891.8844
2024-09-19,22:15:28.617,471594.9385,6430891.5455
2024-09-19,22:15:30.453,471599.1240,6430891.3666
2024-09-19,22:15:34.114,471607.1337,6430890.9816
2024-09-19,22:15:35.955,471611.2896,6430891.2828
2024-09-19,22:15:37.815,471615.4289,6430890.9530
2024-09-19,22:15:39.646,471619.4676,6430890.8875
2024-09-19,22:15:41.480,471623.5427,6430890.7507
2024-09-19,22:15:43.317,471627.6296,6430890.3604
2024-09-19,22:15:45.153,471631.6641,6430890.5845
2024-09-19,22:15:47.005,471635.7844,6430890.3271
2024-09-19,22:15:48.828,471639.9220,6430889.0958
2024-09-19,22:15:50.674,471643.9183,6430890.1345
2024-09-19,22:15:52.508,471648.0213,6430890.0339
2024-09-19,22:15:54.341,471652.1186,6430889.8671
2024-09-19,22:15:56.191,471656.2129,6430889.7147
2024-09-19,22:15:58.026,471660.4226,6430889.7729
2024-09-19,22:15:59.876,471664.4380,6430889.4298
2024-09-19,22:16:01.707,471668.4801,6430889.2726
2024-09-19,22:16:03.546,471672.5660,6430889.1700
2024-09-19,22:16:05.377,471676.7279,6430888.9571
2024-09-19,22:16:07.222,471680.8033,6430887.7803
2024-09-19,22:16:14.054,471696.0076,6430888.3330
2024-09-19,22:16:14.848,471697.7984,6430888.6556
2024-09-19,22:16:16.680,471701.9064,6430888.3329
2024-09-19,22:16:18.532,471706.0022,6430888.2179
2024-09-19,22:16:20.367,471709.9796,6430887.8682
2024-09-19,22:16:22.218,471714.0966,6430887.6731
2024-09-19,22:16:24.051,471718.1462,6430887.7226
2024-09-19,22:16:25.891,471722.2496,6430887.5114
2024-09-19,22:16:27.738,471726.4116,6430888.1619
2024-09-19,22:16:29.586,471730.5108,6430887.3625
2024-09-19,22:16:31.424,471734.6371,6430887.7943
2024-09-19,22:16:33.265,471738.7492,6430886.8400
2024-09-19,22:16:35.098,471742.8423,6430886.8669
2024-09-19,22:16:36.945,471747.0275,6430886.5022
2024-09-19,22:16:38.775,471751.0747,6430886.5527
2024-09-19,22:16:40.627,471755.2096,6430886.4855
2024-09-19,22:16:42.486,471759.3388,6430886.3358
2024-09-19,22:16:44.331,471763.4285,6430885.7005
2024-09-19,22:16:46.171,471767.5463,6430885.8365
2024-09-19,22:16:48.018,471771.6946,6430885.7295
2024-09-19,22:16:49.854,471775.6565,6430885.3148
2024-09-19,22:16:51.682,471779.7723,6430885.2853
2024-09-19,22:16:53.534,471783.8688,6430885.2776
2024-09-19,22:16:55.382,471788.0016,6430884.9283
2024-09-19,22:16:57.206,471792.0407,6430884.5082
2024-09-19,22:16:59.062,471796.1768,6430884.6229
2024-09-19,22:17:00.895,471800.2146,6430884.4722
2024-09-19,22:17:02.727,471804.2997,6430884.1546
2024-09-19,22:17:04.578,471808.4424,6430884.2369
2024-09-19,22:17:08.254,471816.7219,6430883.5695
2024-09-19,22:17:10.096,471820.7653,6430883.0330
2024-09-19,22:17:11.948,471824.9764,6430884.1482
2024-09-19,22:17:13.792,471828.9628,6430883.5162
2024-09-19,22:17:15.640,471833.1075,6430883.6355
2024-09-19,22:17:17.477,471837.1837,6430883.2722
2024-09-19,22:17:19.310,471841.2170,6430882.8842
2024-09-19,22:17:21.144,471845.2932,6430882.5841
2024-09-19,22:17:22.987,471849.3790,6430882.5143
2024-09-19,22:17:24.833,471853.4769,6430882.3823
2024-09-19,22:17:26.674,471857.5767,6430882.1597
2024-09-19,22:17:28.515,471861.7049,6430882.2089
2024-09-19,22:17:30.347,471865.8225,6430881.9370
2024-09-19,22:17:32.185,471869.9179,6430882.1225
2024-09-19,22:17:34.023,471873.9352,6430881.8620
2024-09-19,22:17:35.854,471877.7786,6430881.4848
2024-09-19,22:17:37.695,471881.5669,6430881.4439
2024-09-19,22:17:39.550,471885.7030,6430881.5479
2024-09-19,22:17:43.215,471893.7539,6430881.2897
2024-09-19,22:17:45.053,471897.8468,6430881.0273
2024-09-19,22:17:46.887,471901.9464,6430881.1863
2024-09-19,22:17:48.723,471906.1670,6430880.7790
2024-09-19,22:17:50.572,471910.2714,6430880.8321
2024-09-19,22:17:52.415,471914.3863,6430880.6653
2024-09-19,22:17:54.252,471918.4757,6430880.1748
2024-09-19,22:17:56.101,471922.6186,6430880.1865
2024-09-19,22:17:57.924,471926.6543,6430879.7600
2024-09-19,22:17:59.779,471930.7893,6430879.6859
2024-09-19,22:18:01.624,471934.8653,6430879.3540
2024-09-19,22:18:03.457,471938.9542,6430879.4048
2024-09-19,22:18:05.304,471943.0617,6430879.3510
2024-09-19,22:18:07.132,471947.1105,6430879.2057
